unidade;mes;ano;grau;escore;predicao_obito;saidas;obitos_ocorridos;obitos_esperados
HAC;Janeiro;2024;I;0 a 4;4;0;0;0,0
HAC;Janeiro;2024;II;5 a 9;8;11;0;0,88
HAC;Janeiro;2024;III;10 a 14;15;12;2;1,8
HAC;Janeiro;2024;IV;15 a 19;25;8;1;2,0
HAC;Janeiro;2024;V;20 a 24;40;4;0;1,6
HAC;Janeiro;2024;VI;25 a 29;55;1;1;0,55
HAC;Janeiro;2024;VII;30 a 34;75;2;1;1,5
HAC;Janeiro;2024;VIII;> 34;85;2;2;1,7
HAC;Fevereiro;2024;I;0 a 4;4;0;0;0,0
HAC;Fevereiro;2024;II;5 a 9;8;5;0;0,4
HAC;Fevereiro;2024;III;10 a 14;15;20;3;3,0
HAC;Fevereiro;2024;IV;15 a 19;25;13;0;3,25
HAC;Fevereiro;2024;V;20 a 24;40;2;1;0,8
HAC;Fevereiro;2024;VI;25 a 29;55;0;0;0,0
HAC;Fevereiro;2024;VII;30 a 34;75;0;0;0,0
HAC;Fevereiro;2024;VIII;> 34;85;0;0;0,0
HAC;Mar̤o;2024;I;0 a 4;4;0;0;0,0
HAC;Mar̤o;2024;II;5 a 9;8;7;0;0,56
HAC;Mar̤o;2024;III;10 a 14;15;10;1;1,5
HAC;Mar̤o;2024;IV;15 a 19;25;9;0;2,25
HAC;Mar̤o;2024;V;20 a 24;40;5;0;2,0
HAC;Mar̤o;2024;VI;25 a 29;55;1;0;0,55
HAC;Mar̤o;2024;VII;30 a 34;75;0;0;0,0
HAC;Mar̤o;2024;VIII;> 34;85;0;0;0,0
HAC;Abril;2024;I;0 a 4;4;1;0;0,04
HAC;Abril;2024;II;5 a 9;8;11;0;0,88
HAC;Abril;2024;III;10 a 14;15;18;3;2,7
HAC;Abril;2024;IV;15 a 19;25;9;2;2,25
HAC;Abril;2024;V;20 a 24;40;2;1;0,8
HAC;Abril;2024;VI;25 a 29;55;0;0;0,0
HAC;Abril;2024;VII;30 a 34;75;0;0;0,0
HAC;Abril;2024;VIII;> 34;85;0;0;0,0
HAC;Maio;2024;I;0 a 4;4;1;0;0,04
HAC;Maio;2024;II;5 a 9;8;16;0;1,28
HAC;Maio;2024;III;10 a 14;15;12;0;1,8
HAC;Maio;2024;IV;15 a 19;25;8;1;2,0
HAC;Maio;2024;V;20 a 24;40;4;0;1,6
HAC;Maio;2024;VI;25 a 29;55;2;0;1,1
HAC;Maio;2024;VII;30 a 34;75;2;1;1,5
HAC;Maio;2024;VIII;> 34;85;0;0;0,0
HAC;Junho;2024;I;0 a 4;4;0;0;0,0
HAC;Junho;2024;II;5 a 9;8;8;0;0,64
HAC;Junho;2024;III;10 a 14;15;17;0;2,55
HAC;Junho;2024;IV;15 a 19;25;13;0;3,25
HAC;Junho;2024;V;20 a 24;40;3;0;1,2
HAC;Junho;2024;VI;25 a 29;55;1;0;0,55
HAC;Junho;2024;VII;30 a 34;75;1;0;0,75
HAC;Junho;2024;VIII;> 34;85;1;0;0,85
HAC;Julho;2024;I;0 a 4;4;4;0;0,16
HAC;Julho;2024;II;5 a 9;8;15;0;1,2
HAC;Julho;2024;III;10 a 14;15;8;1;1,2
HAC;Julho;2024;IV;15 a 19;25;5;0;1,25
HAC;Julho;2024;V;20 a 24;40;2;2;0,8
HAC;Julho;2024;VI;25 a 29;55;0;0;0,0
HAC;Julho;2024;VII;30 a 34;75;0;0;0,0
HAC;Julho;2024;VIII;> 34;85;1;1;0,85
HAC;Agosto;2024;I;0 a 4;4;0;0;0,0
HAC;Agosto;2024;II;5 a 9;8;12;0;0,96
HAC;Agosto;2024;III;10 a 14;15;14;0;2,1
HAC;Agosto;2024;IV;15 a 19;25;17;1;4,25
HAC;Agosto;2024;V;20 a 24;40;5;2;2,0
HAC;Agosto;2024;VI;25 a 29;55;2;1;1,1
HAC;Agosto;2024;VII;30 a 34;75;1;0;0,75
HAC;Agosto;2024;VIII;> 34;85;0;0;0,0
HAC;Setembro;2024;I;0 a 4;4;0;0;0,0
HAC;Setembro;2024;II;5 a 9;8;9;0;0,72
HAC;Setembro;2024;III;10 a 14;15;14;1;2,1
HAC;Setembro;2024;IV;15 a 19;25;8;0;2,0
HAC;Setembro;2024;V;20 a 24;40;8;1;3,2
HAC;Setembro;2024;VI;25 a 29;55;2;0;1,1
HAC;Setembro;2024;VII;30 a 34;75;1;0;0,75
HAC;Setembro;2024;VIII;> 34;85;1;1;0,85
HAC;Outubro;2024;I;0 a 4;4;2;0;0,08
HAC;Outubro;2024;II;5 a 9;8;23;0;1,84
HAC;Outubro;2024;III;10 a 14;15;18;1;2,7
HAC;Outubro;2024;IV;15 a 19;25;3;0;0,75
HAC;Outubro;2024;V;20 a 24;40;4;1;1,6
HAC;Outubro;2024;VI;25 a 29;55;0;0;0,0
HAC;Outubro;2024;VII;30 a 34;75;0;0;0,0
HAC;Outubro;2024;VIII;> 34;85;1;1;0,85
HAC;Novembro;2024;I;0 a 4;4;4;0;0,16
HAC;Novembro;2024;II;5 a 9;8;22;0;1,76
HAC;Novembro;2024;III;10 a 14;15;10;0;1,5
HAC;Novembro;2024;IV;15 a 19;25;3;0;0,75
HAC;Novembro;2024;V;20 a 24;40;3;3;1,2
HAC;Novembro;2024;VI;25 a 29;55;3;2;1,65
HAC;Novembro;2024;VII;30 a 34;75;2;2;1,5
HAC;Novembro;2024;VIII;> 34;85;0;0;0,0
HAC;Dezembro;2024;I;0 a 4;4;2;0;0,08
HAC;Dezembro;2024;II;5 a 9;8;14;0;1,12
HAC;Dezembro;2024;III;10 a 14;15;14;0;2,1
HAC;Dezembro;2024;IV;15 a 19;25;4;0;1,0
HAC;Dezembro;2024;V;20 a 24;40;0;0;0,0
HAC;Dezembro;2024;VI;25 a 29;55;2;0;1,1
HAC;Dezembro;2024;VII;30 a 34;75;1;1;0,75
HAC;Dezembro;2024;VIII;> 34;85;0;0;0,0
HEM;Janeiro;2024;I;0 a 4;4;3;0;0,12
HEM;Janeiro;2024;II;5 a 9;8;8;0;0,64
HEM;Janeiro;2024;III;10 a 14;15;10;0;1,5
HEM;Janeiro;2024;IV;15 a 19;25;7;1;1,75
HEM;Janeiro;2024;V;20 a 24;40;7;1;2,8
HEM;Janeiro;2024;VI;25 a 29;55;5;3;2,75
HEM;Janeiro;2024;VII;30 a 34;75;5;3;3,75
HEM;Janeiro;2024;VIII;> 34;85;3;3;2,55
HEM;Fevereiro;2024;I;0 a 4;4;10;0;0,4
HEM;Fevereiro;2024;II;5 a 9;8;13;0;1,04
HEM;Fevereiro;2024;III;10 a 14;15;14;0;2,1
HEM;Fevereiro;2024;IV;15 a 19;25;5;0;1,25
HEM;Fevereiro;2024;V;20 a 24;40;2;1;0,8
HEM;Fevereiro;2024;VI;25 a 29;55;3;2;1,65
HEM;Fevereiro;2024;VII;30 a 34;75;0;0;0,0
HEM;Fevereiro;2024;VIII;> 34;85;0;0;0,0
HEM;Mar̤o;2024;I;0 a 4;4;10;0;0,4
HEM;Mar̤o;2024;II;5 a 9;8;20;0;1,6
HEM;Mar̤o;2024;III;10 a 14;15;16;0;2,4
HEM;Mar̤o;2024;IV;15 a 19;25;2;0;0,5
HEM;Mar̤o;2024;V;20 a 24;40;6;3;2,4
HEM;Mar̤o;2024;VI;25 a 29;55;1;1;0,55
HEM;Mar̤o;2024;VII;30 a 34;75;1;1;0,75
HEM;Mar̤o;2024;VIII;> 34;85;0;0;0,0
HEM;Abril;2024;I;0 a 4;4;4;1;0,16
HEM;Abril;2024;II;5 a 9;8;11;0;0,88
HEM;Abril;2024;III;10 a 14;15;12;0;1,8
HEM;Abril;2024;IV;15 a 19;25;3;0;0,75
HEM;Abril;2024;V;20 a 24;40;7;4;2,8
HEM;Abril;2024;VI;25 a 29;55;1;0;0,55
HEM;Abril;2024;VII;30 a 34;75;0;0;0,0
HEM;Abril;2024;VIII;> 34;85;0;0;0,0
HEM;Maio;2024;I;0 a 4;4;1;0;0,04
HEM;Maio;2024;II;5 a 9;8;7;0;0,56
HEM;Maio;2024;III;10 a 14;15;6;1;0,9
HEM;Maio;2024;IV;15 a 19;25;4;0;1,0
HEM;Maio;2024;V;20 a 24;40;5;4;2,0
HEM;Maio;2024;VI;25 a 29;55;3;0;1,65
HEM;Maio;2024;VII;30 a 34;75;1;1;0,75
HEM;Maio;2024;VIII;> 34;85;0;0;0,0
HEM;Junho;2024;I;0 a 4;4;3;1;0,12
HEM;Junho;2024;II;5 a 9;8;11;0;0,88
HEM;Junho;2024;III;10 a 14;15;8;1;1,2
HEM;Junho;2024;IV;15 a 19;25;4;1;1,0
HEM;Junho;2024;V;20 a 24;40;7;3;2,8
HEM;Junho;2024;VI;25 a 29;55;2;0;1,1
HEM;Junho;2024;VII;30 a 34;75;2;1;1,5
HEM;Junho;2024;VIII;> 34;85;2;2;1,7
HEM;Julho;2024;I;0 a 4;4;2;0;0,08
HEM;Julho;2024;II;5 a 9;8;7;1;0,56
HEM;Julho;2024;III;10 a 14;15;5;0;0,75
HEM;Julho;2024;IV;15 a 19;25;8;0;2,0
HEM;Julho;2024;V;20 a 24;40;8;0;3,2
HEM;Julho;2024;VI;25 a 29;55;2;0;1,1
HEM;Julho;2024;VII;30 a 34;75;0;0;0,0
HEM;Julho;2024;VIII;> 34;85;1;1;0,85
HEM;Agosto;2024;I;0 a 4;4;0;0;0,0
HEM;Agosto;2024;II;5 a 9;8;6;1;0,48
HEM;Agosto;2024;III;10 a 14;15;10;0;1,5
HEM;Agosto;2024;IV;15 a 19;25;3;0;0,75
HEM;Agosto;2024;V;20 a 24;40;3;1;1,2
HEM;Agosto;2024;VI;25 a 29;55;2;0;1,1
HEM;Agosto;2024;VII;30 a 34;75;2;1;1,5
HEM;Agosto;2024;VIII;> 34;85;1;0;0,85
HEM;Setembro;2024;I;0 a 4;4;1;0;0,04
HEM;Setembro;2024;II;5 a 9;8;10;0;0,8
HEM;Setembro;2024;III;10 a 14;15;6;0;0,9
HEM;Setembro;2024;IV;15 a 19;25;6;1;1,5
HEM;Setembro;2024;V;20 a 24;40;5;4;2,0
HEM;Setembro;2024;VI;25 a 29;55;7;4;3,85
HEM;Setembro;2024;VII;30 a 34;75;0;0;0,0
HEM;Setembro;2024;VIII;> 34;85;1;1;0,85
HEM;Outubro;2024;I;0 a 4;4;1;0;0,04
HEM;Outubro;2024;II;5 a 9;8;6;0;0,48
HEM;Outubro;2024;III;10 a 14;15;10;0;1,5
HEM;Outubro;2024;IV;15 a 19;25;7;2;1,75
HEM;Outubro;2024;V;20 a 24;40;5;0;2,0
HEM;Outubro;2024;VI;25 a 29;55;1;0;0,55
HEM;Outubro;2024;VII;30 a 34;75;1;0;0,75
HEM;Outubro;2024;VIII;> 34;85;0;0;0,0
HEM;Novembro;2024;I;0 a 4;4;1;0;0,04
HEM;Novembro;2024;II;5 a 9;8;8;2;0,64
HEM;Novembro;2024;III;10 a 14;15;3;0;0,45
HEM;Novembro;2024;IV;15 a 19;25;4;1;1,0
HEM;Novembro;2024;V;20 a 24;40;2;0;0,8
HEM;Novembro;2024;VI;25 a 29;55;4;2;2,2
HEM;Novembro;2024;VII;30 a 34;75;1;1;0,75
HEM;Novembro;2024;VIII;> 34;85;2;2;1,7
HEM;Dezembro;2024;I;0 a 4;4;2;0;0,08
HEM;Dezembro;2024;II;5 a 9;8;12;1;0,96
HEM;Dezembro;2024;III;10 a 14;15;11;1;1,65
HEM;Dezembro;2024;IV;15 a 19;25;5;3;1,25
HEM;Dezembro;2024;V;20 a 24;40;4;2;1,6
HEM;Dezembro;2024;VI;25 a 29;55;4;3;2,2
HEM;Dezembro;2024;VII;30 a 34;75;0;0;0,0
HEM;Dezembro;2024;VIII;> 34;85;0;0;0,0
HJK;Janeiro;2024;I;0 a 4;4;1;0;0,04
HJK;Janeiro;2024;II;5 a 9;8;8;1;0,64
HJK;Janeiro;2024;III;10 a 14;15;39;1;5,85
HJK;Janeiro;2024;IV;15 a 19;25;37;6;9,25
HJK;Janeiro;2024;V;20 a 24;40;28;2;11,2
HJK;Janeiro;2024;VI;25 a 29;55;6;1;3,3
HJK;Janeiro;2024;VII;30 a 34;75;8;0;6,0
HJK;Janeiro;2024;VIII;> 34;85;4;2;3,4
HJK;Fevereiro;2024;I;0 a 4;4;0;0;0,0
HJK;Fevereiro;2024;II;5 a 9;8;8;0;0,64
HJK;Fevereiro;2024;III;10 a 14;15;43;1;6,45
HJK;Fevereiro;2024;IV;15 a 19;25;32;3;8,0
HJK;Fevereiro;2024;V;20 a 24;40;17;3;6,8
HJK;Fevereiro;2024;VI;25 a 29;55;11;4;6,05
HJK;Fevereiro;2024;VII;30 a 34;75;7;2;5,25
HJK;Fevereiro;2024;VIII;> 34;85;3;2;2,55
HJK;Mar̤o;2024;I;0 a 4;4;1;0;0,04
HJK;Mar̤o;2024;II;5 a 9;8;4;0;0,32
HJK;Mar̤o;2024;III;10 a 14;15;28;3;4,2
HJK;Mar̤o;2024;IV;15 a 19;25;45;5;11,25
HJK;Mar̤o;2024;V;20 a 24;40;27;2;10,8
HJK;Mar̤o;2024;VI;25 a 29;55;13;3;7,15
HJK;Mar̤o;2024;VII;30 a 34;75;6;2;4,5
HJK;Mar̤o;2024;VIII;> 34;85;4;2;3,4
HJK;Abril;2024;I;0 a 4;4;3;0;0,12
HJK;Abril;2024;II;5 a 9;8;13;0;1,04
HJK;Abril;2024;III;10 a 14;15;26;1;3,9
HJK;Abril;2024;IV;15 a 19;25;30;3;7,5
HJK;Abril;2024;V;20 a 24;40;28;2;11,2
HJK;Abril;2024;VI;25 a 29;55;10;4;5,5
HJK;Abril;2024;VII;30 a 34;75;6;1;4,5
HJK;Abril;2024;VIII;> 34;85;0;0;0,0
HJK;Maio;2024;I;0 a 4;4;2;0;0,08
HJK;Maio;2024;II;5 a 9;8;12;0;0,96
HJK;Maio;2024;III;10 a 14;15;40;1;6,0
HJK;Maio;2024;IV;15 a 19;25;35;4;8,75
HJK;Maio;2024;V;20 a 24;40;28;7;11,2
HJK;Maio;2024;VI;25 a 29;55;18;6;9,9
HJK;Maio;2024;VII;30 a 34;75;7;3;5,25
HJK;Maio;2024;VIII;> 34;85;2;2;1,7
HJK;Junho;2024;I;0 a 4;4;2;0;0,08
HJK;Junho;2024;II;5 a 9;8;16;1;1,28
HJK;Junho;2024;III;10 a 14;15;33;1;4,95
HJK;Junho;2024;IV;15 a 19;25;43;6;10,75
HJK;Junho;2024;V;20 a 24;40;27;4;10,8
