unidade;mes;ano;grau;escore;predicao_obito;saidas;obitos_ocorridos;obitos_esperados
HAC;Janeiro;2025;I;0 a 4;4;3;0;0,12
HAC;Janeiro;2025;II;5 a 9;8;17;0;1,36
HAC;Janeiro;2025;III;10 a 14;15;12;1;1,8
HAC;Janeiro;2025;IV;15 a 19;25;7;1;1,75
HAC;Janeiro;2025;V;20 a 24;40;4;3;1,6
HAC;Janeiro;2025;VI;25 a 29;55;2;1;1,1
HAC;Janeiro;2025;VII;30 a 34;75;1;1;0,75
HAC;Janeiro;2025;VIII;> 34;85;0;0;0,0
HAC;Fevereiro;2025;I;0 a 4;4;2;0;0,08
HAC;Fevereiro;2025;II;5 a 9;8;23;0;1,84
HAC;Fevereiro;2025;III;10 a 14;15;14;1;2,1
HAC;Fevereiro;2025;IV;15 a 19;25;4;2;1,0
HAC;Fevereiro;2025;V;20 a 24;40;1;1;0,4
HAC;Fevereiro;2025;VI;25 a 29;55;0;0;0,0
HAC;Fevereiro;2025;VII;30 a 34;75;1;1;0,75
HAC;Fevereiro;2025;VIII;> 34;85;1;1;0,85
HAC;Mar̤o;2025;I;0 a 4;4;0;0;0,0
HAC;Mar̤o;2025;II;5 a 9;8;6;0;0,48
HAC;Mar̤o;2025;III;10 a 14;15;17;0;2,55
HAC;Mar̤o;2025;IV;15 a 19;25;14;1;3,5
HAC;Mar̤o;2025;V;20 a 24;40;7;0;2,8
HAC;Mar̤o;2025;VI;25 a 29;55;2;1;1,1
HAC;Mar̤o;2025;VII;30 a 34;75;2;2;1,5
HAC;Mar̤o;2025;VIII;> 34;85;0;0;0,0
HAC;Abril;2025;I;0 a 4;4;0;0;0,0
HAC;Abril;2025;II;5 a 9;8;3;0;0,24
HAC;Abril;2025;III;10 a 14;15;7;1;1,05
HAC;Abril;2025;IV;15 a 19;25;10;2;2,5
HAC;Abril;2025;V;20 a 24;40;4;0;1,6
HAC;Abril;2025;VI;25 a 29;55;1;1;0,55
HAC;Abril;2025;VII;30 a 34;75;0;0;0,0
HAC;Abril;2025;VIII;> 34;85;2;2;1,7
HAC;Maio;2025;I;0 a 4;4;1;0;0,04
HAC;Maio;2025;II;5 a 9;8;6;1;0,48
HAC;Maio;2025;III;10 a 14;15;17;2;2,55
HAC;Maio;2025;IV;15 a 19;25;13;0;3,25
HAC;Maio;2025;V;20 a 24;40;4;3;1,6
HAC;Maio;2025;VI;25 a 29;55;0;0;0,0
HAC;Maio;2025;VII;30 a 34;75;1;1;0,75
HAC;Maio;2025;VIII;> 34;85;1;1;0,85
HAC;Junho;2025;I;0 a 4;4;0;0;0,0
HAC;Junho;2025;II;5 a 9;8;9;0;0,72
HAC;Junho;2025;III;10 a 14;15;9;0;1,35
HAC;Junho;2025;IV;15 a 19;25;7;1;1,75
HAC;Junho;2025;V;20 a 24;40;5;3;2,0
HAC;Junho;2025;VI;25 a 29;55;2;1;1,1
HAC;Junho;2025;VII;30 a 34;75;3;1;2,25
HAC;Junho;2025;VIII;> 34;85;0;0;0,0
HAC;Julho;2025;I;0 a 4;4;2;0;0,08
HAC;Julho;2025;II;5 a 9;8;6;0;0,48
HAC;Julho;2025;III;10 a 14;15;11;1;1,65
HAC;Julho;2025;IV;15 a 19;25;9;0;2,25
HAC;Julho;2025;V;20 a 24;40;6;1;2,4
HAC;Julho;2025;VI;25 a 29;55;4;0;2,2
HAC;Julho;2025;VII;30 a 34;75;0;0;0,0
HAC;Julho;2025;VIII;> 34;85;1;1;0,85
HAC;Agosto;2025;I;0 a 4;4;2;0;0,08
HAC;Agosto;2025;II;5 a 9;8;7;0;0,56
HAC;Agosto;2025;III;10 a 14;15;17;2;2,55
HAC;Agosto;2025;IV;15 a 19;25;9;2;2,25
HAC;Agosto;2025;V;20 a 24;40;5;4;2,0
HAC;Agosto;2025;VI;25 a 29;55;1;1;0,55
HAC;Agosto;2025;VII;30 a 34;75;0;0;0,0
HAC;Agosto;2025;VIII;> 34;85;0;0;0,0
