unidade;mes;ano;grau;escore;predicao_obito;saidas;obitos_ocorridos;obitos_esperados
HGBJA;janeiro;2021;I;0 a 4;4;0;0;0,0
HGBJA;janeiro;2021;II;5 a 9;8;4;0;0,32
HGBJA;janeiro;2021;III;10 a 14;15;5;2;0,75
HGBJA;janeiro;2021;IV;15 a 19;25;10;2;2,5
HGBJA;janeiro;2021;V;20 a 24;40;3;1;1,2
HGBJA;janeiro;2021;VI;25 a 29;55;2;2;1,1
HGBJA;janeiro;2021;VII;30 a 34;75;0;0;0,0
HGBJA;janeiro;2021;VIII;> 34;85;0;0;0,0
HGBJA;fevereiro;2021;I;0 a 4;4;0;0;0,0
HGBJA;fevereiro;2021;II;5 a 9;8;3;0;0,24
HGBJA;fevereiro;2021;III;10 a 14;15;6;0;0,9
HGBJA;fevereiro;2021;IV;15 a 19;25;11;2;2,75
HGBJA;fevereiro;2021;V;20 a 24;40;2;0;0,8
HGBJA;fevereiro;2021;VI;25 a 29;55;3;1;1,65
HGBJA;fevereiro;2021;VII;30 a 34;75;3;3;2,25
HGBJA;fevereiro;2021;VIII;> 34;85;1;0;0,85
HGBJA;mar̤o;2021;I;0 a 4;4;0;0;0,0
HGBJA;mar̤o;2021;II;5 a 9;8;2;0;0,16
HGBJA;mar̤o;2021;III;10 a 14;15;1;0;0,15
HGBJA;mar̤o;2021;IV;15 a 19;25;7;1;1,75
HGBJA;mar̤o;2021;V;20 a 24;40;8;3;3,2
HGBJA;mar̤o;2021;VI;25 a 29;55;4;2;2,2
HGBJA;mar̤o;2021;VII;30 a 34;75;0;0;0,0
HGBJA;mar̤o;2021;VIII;> 34;85;0;0;0,0
HGBJA;abril;2021;I;0 a 4;4;0;0;0,0
HGBJA;abril;2021;II;5 a 9;8;4;0;0,32
HGBJA;abril;2021;III;10 a 14;15;9;0;1,35
HGBJA;abril;2021;IV;15 a 19;25;8;1;2,0
HGBJA;abril;2021;V;20 a 24;40;4;2;1,6
HGBJA;abril;2021;VI;25 a 29;55;6;5;3,3
HGBJA;abril;2021;VII;30 a 34;75;2;1;1,5
HGBJA;abril;2021;VIII;> 34;85;1;1;0,85
HGBJA;maio;2021;I;0 a 4;4;0;0;0,0
HGBJA;maio;2021;II;5 a 9;8;2;0;0,16
HGBJA;maio;2021;III;10 a 14;15;3;0;0,45
HGBJA;maio;2021;IV;15 a 19;25;13;3;3,25
HGBJA;maio;2021;V;20 a 24;40;3;1;1,2
HGBJA;maio;2021;VI;25 a 29;55;4;1;2,2
HGBJA;maio;2021;VII;30 a 34;75;1;0;0,75
HGBJA;maio;2021;VIII;> 34;85;0;0;0,0
HGBJA;junho;2021;I;0 a 4;4;0;0;0,0
HGBJA;junho;2021;II;5 a 9;8;1;0;0,08
HGBJA;junho;2021;III;10 a 14;15;4;1;0,6
HGBJA;junho;2021;IV;15 a 19;25;5;0;1,25
HGBJA;junho;2021;V;20 a 24;40;1;1;0,4
HGBJA;junho;2021;VI;25 a 29;55;6;4;3,3
HGBJA;junho;2021;VII;30 a 34;75;1;1;0,75
HGBJA;junho;2021;VIII;> 34;85;1;1;0,85
HGBJA;julho;2021;I;0 a 4;4;0;0;0,0
HGBJA;julho;2021;II;5 a 9;8;1;0;0,08
HGBJA;julho;2021;III;10 a 14;15;2;1;0,3
HGBJA;julho;2021;IV;15 a 19;25;7;1;1,75
HGBJA;julho;2021;V;20 a 24;40;9;4;3,6
HGBJA;julho;2021;VI;25 a 29;55;2;0;1,1
HGBJA;julho;2021;VII;30 a 34;75;0;0;0,0
HGBJA;julho;2021;VIII;> 34;85;2;2;1,7
HGBJA;agosto;2021;I;0 a 4;4;0;0;0,0
HGBJA;agosto;2021;II;5 a 9;8;1;0;0,08
HGBJA;agosto;2021;III;10 a 14;15;6;0;0,9
HGBJA;agosto;2021;IV;15 a 19;25;6;1;1,5
HGBJA;agosto;2021;V;20 a 24;40;6;2;2,4
HGBJA;agosto;2021;VI;25 a 29;55;1;1;0,55
HGBJA;agosto;2021;VII;30 a 34;75;1;0;0,75
HGBJA;agosto;2021;VIII;> 34;85;2;1;1,7
HGBJA;setembro;2021;I;0 a 4;4;0;0;0,0
HGBJA;setembro;2021;II;5 a 9;8;2;0;0,16
HGBJA;setembro;2021;III;10 a 14;15;4;0;0,6
HGBJA;setembro;2021;IV;15 a 19;25;6;0;1,5
HGBJA;setembro;2021;V;20 a 24;40;7;3;2,8
HGBJA;setembro;2021;VI;25 a 29;55;3;1;1,65
HGBJA;setembro;2021;VII;30 a 34;75;0;0;0,0
HGBJA;setembro;2021;VIII;> 34;85;1;1;0,85
HGBJA;outubro;2021;I;0 a 4;4;0;0;0,0
HGBJA;outubro;2021;II;5 a 9;8;1;0;0,08
HGBJA;outubro;2021;III;10 a 14;15;5;0;0,75
HGBJA;outubro;2021;IV;15 a 19;25;6;0;1,5
HGBJA;outubro;2021;V;20 a 24;40;12;2;4,8
HGBJA;outubro;2021;VI;25 a 29;55;5;3;2,75
HGBJA;outubro;2021;VII;30 a 34;75;4;3;3,0
HGBJA;outubro;2021;VIII;> 34;85;0;0;0,0
HGBJA;novembro;2021;I;0 a 4;4;0;0;0,0
HGBJA;novembro;2021;II;5 a 9;8;0;0;0,0
HGBJA;novembro;2021;III;10 a 14;15;4;1;0,6
HGBJA;novembro;2021;IV;15 a 19;25;5;1;1,25
HGBJA;novembro;2021;V;20 a 24;40;6;3;2,4
HGBJA;novembro;2021;VI;25 a 29;55;3;3;1,65
HGBJA;novembro;2021;VII;30 a 34;75;1;0;0,75
HGBJA;novembro;2021;VIII;> 34;85;2;2;1,7
HGBJA;dezembro;2021;I;0 a 4;4;1;0;0,04
HGBJA;dezembro;2021;II;5 a 9;8;2;1;0,16
HGBJA;dezembro;2021;III;10 a 14;15;6;1;0,9
HGBJA;dezembro;2021;IV;15 a 19;25;9;2;2,25
HGBJA;dezembro;2021;V;20 a 24;40;4;0;1,6
HGBJA;dezembro;2021;VI;25 a 29;55;2;2;1,1
HGBJA;dezembro;2021;VII;30 a 34;75;2;2;1,5
HGBJA;dezembro;2021;VIII;> 34;85;2;1;1,7
HJK;janeiro;2021;I;0 a 4;4;0;0;0,0
HJK;janeiro;2021;II;5 a 9;8;3;0;0,24
HJK;janeiro;2021;III;10 a 14;15;18;1;2,7
HJK;janeiro;2021;IV;15 a 19;25;15;1;3,75
HJK;janeiro;2021;V;20 a 24;40;3;0;1,2
HJK;janeiro;2021;VI;25 a 29;55;13;3;7,15
HJK;janeiro;2021;VII;30 a 34;75;5;3;3,75
HJK;janeiro;2021;VIII;> 34;85;4;4;3,4
HJK;fevereiro;2021;I;0 a 4;4;0;0;0,0
HJK;fevereiro;2021;II;5 a 9;8;5;0;0,4
HJK;fevereiro;2021;III;10 a 14;15;20;4;3,0
HJK;fevereiro;2021;IV;15 a 19;25;31;7;7,75
HJK;fevereiro;2021;V;20 a 24;40;10;1;4,0
HJK;fevereiro;2021;VI;25 a 29;55;15;5;8,25
HJK;fevereiro;2021;VII;30 a 34;75;8;5;6,0
HJK;fevereiro;2021;VIII;> 34;85;5;4;4,25
HJK;mar̤o;2021;I;0 a 4;4;1;0;0,04
HJK;mar̤o;2021;II;5 a 9;8;12;0;0,96
HJK;mar̤o;2021;III;10 a 14;15;25;6;3,75
HJK;mar̤o;2021;IV;15 a 19;25;36;11;9,0
HJK;mar̤o;2021;V;20 a 24;40;25;11;10,0
HJK;mar̤o;2021;VI;25 a 29;55;15;7;8,25
HJK;mar̤o;2021;VII;30 a 34;75;14;5;10,5
HJK;mar̤o;2021;VIII;> 34;85;12;6;10,2
HJK;abril;2021;I;0 a 4;4;2;0;0,08
HJK;abril;2021;II;5 a 9;8;12;2;0,96
HJK;abril;2021;III;10 a 14;15;21;2;3,15
HJK;abril;2021;IV;15 a 19;25;21;8;5,25
HJK;abril;2021;V;20 a 24;40;10;3;4,0
HJK;abril;2021;VI;25 a 29;55;17;4;9,35
HJK;abril;2021;VII;30 a 34;75;9;7;6,75
HJK;abril;2021;VIII;> 34;85;16;8;13,6
HJK;maio;2021;I;0 a 4;4;8;2;0,32
HJK;maio;2021;II;5 a 9;8;24;1;1,92
HJK;maio;2021;III;10 a 14;15;24;3;3,6
HJK;maio;2021;IV;15 a 19;25;14;5;3,5
HJK;maio;2021;V;20 a 24;40;9;2;3,6
HJK;maio;2021;VI;25 a 29;55;8;3;4,4
HJK;maio;2021;VII;30 a 34;75;19;8;14,25
HJK;maio;2021;VIII;> 34;85;8;5;6,8
HJK;junho;2021;I;0 a 4;4;15;1;0,6
HJK;junho;2021;II;5 a 9;8;24;3;1,92
HJK;junho;2021;III;10 a 14;15;27;3;4,05
HJK;junho;2021;IV;15 a 19;25;12;2;3,0
HJK;junho;2021;V;20 a 24;40;11;3;4,4
HJK;junho;2021;VI;25 a 29;55;9;3;4,95
HJK;junho;2021;VII;30 a 34;75;14;3;10,5
HJK;junho;2021;VIII;> 34;85;11;6;9,35
HJK;julho;2021;I;0 a 4;4;4;0;0,16
HJK;julho;2021;II;5 a 9;8;13;3;1,04
HJK;julho;2021;III;10 a 14;15;27;0;4,05
HJK;julho;2021;IV;15 a 19;25;25;3;6,25
HJK;julho;2021;V;20 a 24;40;12;5;4,8
HJK;julho;2021;VI;25 a 29;55;11;3;6,05
HJK;julho;2021;VII;30 a 34;75;12;2;9,0
HJK;julho;2021;VIII;> 34;85;8;4;6,8
HJK;agosto;2021;I;0 a 4;4;4;1;0,16
HJK;agosto;2021;II;5 a 9;8;16;1;1,28
HJK;agosto;2021;III;10 a 14;15;27;3;4,05
HJK;agosto;2021;IV;15 a 19;25;28;3;7,0
HJK;agosto;2021;V;20 a 24;40;6;2;2,4
HJK;agosto;2021;VI;25 a 29;55;6;2;3,3
HJK;agosto;2021;VII;30 a 34;75;4;0;3,0
HJK;agosto;2021;VIII;> 34;85;5;2;4,25
HJK;setembro;2021;I;0 a 4;4;1;0;0,04
HJK;setembro;2021;II;5 a 9;8;11;0;0,88
HJK;setembro;2021;III;10 a 14;15;21;2;3,15
HJK;setembro;2021;IV;15 a 19;25;16;3;4,0
HJK;setembro;2021;V;20 a 24;40;5;2;2,0
HJK;setembro;2021;VI;25 a 29;55;2;1;1,1
HJK;setembro;2021;VII;30 a 34;75;4;1;3,0
HJK;setembro;2021;VIII;> 34;85;3;2;2,55
HJK;outubro;2021;I;0 a 4;4;1;0;0,04
HJK;outubro;2021;II;5 a 9;8;10;1;0,8
HJK;outubro;2021;III;10 a 14;15;13;1;1,95
HJK;outubro;2021;IV;15 a 19;25;22;3;5,5
HJK;outubro;2021;V;20 a 24;40;8;1;3,2
HJK;outubro;2021;VI;25 a 29;55;8;6;4,4
HJK;outubro;2021;VII;30 a 34;75;4;0;3,0
HJK;outubro;2021;VIII;> 34;85;4;1;3,4
HJK;novembro;2021;I;0 a 4;4;0;0;0,0
HJK;novembro;2021;II;5 a 9;8;14;0;1,12
HJK;novembro;2021;III;10 a 14;15;20;1;3,0
HJK;novembro;2021;IV;15 a 19;25;23;2;5,75
HJK;novembro;2021;V;20 a 24;40;18;1;7,2
HJK;novembro;2021;VI;25 a 29;55;9;2;4,95
HJK;novembro;2021;VII;30 a 34;75;5;0;3,75
HJK;novembro;2021;VIII;> 34;85;3;1;2,55
HJK;dezembro;2021;I;0 a 4;4;1;0;0,04
HJK;dezembro;2021;II;5 a 9;8;13;1;1,04
HJK;dezembro;2021;III;10 a 14;15;22;1;3,3
HJK;dezembro;2021;IV;15 a 19;25;26;5;6,5
HJK;dezembro;2021;V;20 a 24;40;18;1;7,2
HJK;dezembro;2021;VI;25 a 29;55;10;0;5,5
HJK;dezembro;2021;VII;30 a 34;75;3;0;2,25
HJK;dezembro;2021;VIII;> 34;85;4;2;3,4
HRAD;janeiro;2021;I;0 a 4;4;0;0;0,0
HRAD;janeiro;2021;II;5 a 9;8;1;0;0,08
HRAD;janeiro;2021;III;10 a 14;15;7;1;1,05
HRAD;janeiro;2021;IV;15 a 19;25;7;1;1,75
HRAD;janeiro;2021;V;20 a 24;40;7;1;2,8
HRAD;janeiro;2021;VI;25 a 29;55;3;2;1,65
HRAD;janeiro;2021;VII;30 a 34;75;0;0;0,0
HRAD;janeiro;2021;VIII;> 34;85;0;0;0,0
HRAD;fevereiro;2021;I;0 a 4;4;0;0;0,0
HRAD;fevereiro;2021;II;5 a 9;8;5;1;0,4
HRAD;fevereiro;2021;III;10 a 14;15;9;0;1,35
HRAD;fevereiro;2021;IV;15 a 19;25;6;0;1,5
HRAD;fevereiro;2021;V;20 a 24;40;9;3;3,6
HRAD;fevereiro;2021;VI;25 a 29;55;1;1;0,55
HRAD;fevereiro;2021;VII;30 a 34;75;1;1;0,75
HRAD;fevereiro;2021;VIII;> 34;85;0;0;0,0
HRAD;mar̤o;2021;I;0 a 4;4;0;0;0,0
HRAD;mar̤o;2021;II;5 a 9;8;1;0;0,08
HRAD;mar̤o;2021;III;10 a 14;15;5;2;0,75
HRAD;mar̤o;2021;IV;15 a 19;25;2;0;0,5
HRAD;mar̤o;2021;V;20 a 24;40;8;4;3,2
HRAD;mar̤o;2021;VI;25 a 29;55;5;2;2,75
HRAD;mar̤o;2021;VII;30 a 34;75;0;0;0,0
HRAD;mar̤o;2021;VIII;> 34;85;0;0;0,0
HRAD;abril;2021;I;0 a 4;4;0;0;0,0
HRAD;abril;2021;II;5 a 9;8;0;0;0,0
HRAD;abril;2021;III;10 a 14;15;2;0;0,3
HRAD;abril;2021;IV;15 a 19;25;11;2;2,75
HRAD;abril;2021;V;20 a 24;40;8;3;3,2
HRAD;abril;2021;VI;25 a 29;55;2;1;1,1
HRAD;abril;2021;VII;30 a 34;75;0;0;0,0
HRAD;abril;2021;VIII;> 34;85;0;0;0,0
HRAD;maio;2021;I;0 a 4;4;0;0;0,0
HRAD;maio;2021;II;5 a 9;8;1;1;0,08
HRAD;maio;2021;III;10 a 14;15;4;0;0,6
HRAD;maio;2021;IV;15 a 19;25;8;2;2,0
HRAD;maio;2021;V;20 a 24;40;5;0;2,0
HRAD;maio;2021;VI;25 a 29;55;5;3;2,75
HRAD;maio;2021;VII;30 a 34;75;1;1;0,75
HRAD;maio;2021;VIII;> 34;85;0;0;0,0
HRAD;junho;2021;I;0 a 4;4;0;0;0,0
HRAD;junho;2021;II;5 a 9;8;1;0;0,08
HRAD;junho;2021;III;10 a 14;15;3;1;0,45
HRAD;junho;2021;IV;15 a 19;25;4;3;1,0
HRAD;junho;2021;V;20 a 24;40;7;4;2,8
HRAD;junho;2021;VI;25 a 29;55;4;3;2,2
HRAD;junho;2021;VII;30 a 34;75;0;0;0,0
HRAD;junho;2021;VIII;> 34;85;0;0;0,0
HRAD;julho;2021;I;0 a 4;4;0;0;0,0
HRAD;julho;2021;II;5 a 9;8;1;0;0,08
HRAD;julho;2021;III;10 a 14;15;6;0;0,9
HRAD;julho;2021;IV;15 a 19;25;1;0;0,25
HRAD;julho;2021;V;20 a 24;40;7;1;2,8
HRAD;julho;2021;VI;25 a 29;55;5;3;2,75
HRAD;julho;2021;VII;30 a 34;75;0;0;0,0
HRAD;julho;2021;VIII;> 34;85;0;0;0,0
HRAD;agosto;2021;I;0 a 4;4;0;0;0,0
HRAD;agosto;2021;II;5 a 9;8;2;0;0,16
HRAD;agosto;2021;III;10 a 14;15;6;1;0,9
HRAD;agosto;2021;IV;15 a 19;25;7;1;1,75
HRAD;agosto;2021;V;20 a 24;40;4;3;1,6
HRAD;agosto;2021;VI;25 a 29;55;1;1;0,55
HRAD;agosto;2021;VII;30 a 34;75;0;0;0,0
HRAD;agosto;2021;VIII;> 34;85;0;0;0,0
HRAD;setembro;2021;I;0 a 4;4;0;0;0,0
HRAD;setembro;2021;II;5 a 9;8;1;0;0,08
HRAD;setembro;2021;III;10 a 14;15;6;0;0,9
HRAD;setembro;2021;IV;15 a 19;25;6;0;1,5
HRAD;setembro;2021;V;20 a 24;40;7;4;2,8
HRAD;setembro;2021;VI;25 a 29;55;0;0;0,0
HRAD;setembro;2021;VII;30 a 34;75;1;1;0,75
HRAD;setembro;2021;VIII;> 34;85;0;0;0,0
HRAD;outubro;2021;I;0 a 4;4;0;0;0,0
HRAD;outubro;2021;II;5 a 9;8;1;0;0,08
HRAD;outubro;2021;III;10 a 14;15;6;0;0,9
HRAD;outubro;2021;IV;15 a 19;25;3;0;0,75
HRAD;outubro;2021;V;20 a 24;40;10;2;4,0
HRAD;outubro;2021;VI;25 a 29;55;3;2;1,65
HRAD;outubro;2021;VII;30 a 34;75;0;0;0,0
HRAD;outubro;2021;VIII;> 34;85;0;0;0,0
HRAD;novembro;2021;I;0 a 4;4;0;0;0,0
HRAD;novembro;2021;II;5 a 9;8;4;0;0,32
HRAD;novembro;2021;III;10 a 14;15;4;1;0,6
HRAD;novembro;2021;IV;15 a 19;25;5;0;1,25
HRAD;novembro;2021;V;20 a 24;40;3;1;1,2
HRAD;novembro;2021;VI;25 a 29;55;4;3;2,2
HRAD;novembro;2021;VII;30 a 34;75;0;0;0,0
HRAD;novembro;2021;VIII;> 34;85;0;0;0,0
HRAD;dezembro;2021;I;0 a 4;4;0;0;0,0
HRAD;dezembro;2021;II;5 a 9;8;3;0;0,24
HRAD;dezembro;2021;III;10 a 14;15;3;0;0,45
HRAD;dezembro;2021;IV;15 a 19;25;8;2;2,0
HRAD;dezembro;2021;V;20 a 24;40;7;0;2,8
HRAD;dezembro;2021;VI;25 a 29;55;5;3;2,75
HRAD;dezembro;2021;VII;30 a 34;75;0;0;0,0
HRAD;dezembro;2021;VIII;> 34;85;0;0;0,0
HJXXIII;janeiro;2021;I;0 a 4;4;13;0;0,52
HJXXIII;janeiro;2021;II;5 a 9;8;34;1;2,72
HJXXIII;janeiro;2021;III;10 a 14;15;39;4;5,85
HJXXIII;janeiro;2021;IV;15 a 19;25;27;4;6,75
HJXXIII;janeiro;2021;V;20 a 24;40;9;6;3,6
HJXXIII;janeiro;2021;VI;25 a 29;55;7;4;3,85
HJXXIII;janeiro;2021;VII;30 a 34;75;3;3;2,25
HJXXIII;janeiro;2021;VIII;> 34;85;0;0;0,0
HJXXIII;fevereiro;2021;I;0 a 4;4;18;0;0,72
HJXXIII;fevereiro;2021;II;5 a 9;8;30;6;2,4
HJXXIII;fevereiro;2021;III;10 a 14;15;39;6;5,85
HJXXIII;fevereiro;2021;IV;15 a 19;25;19;7;4,75
HJXXIII;fevereiro;2021;V;20 a 24;40;5;2;2,0
HJXXIII;fevereiro;2021;VI;25 a 29;55;4;2;2,2
HJXXIII;fevereiro;2021;VII;30 a 34;75;1;0;0,75
HJXXIII;fevereiro;2021;VIII;> 34;85;0;0;0,0
HJXXIII;mar̤o;2021;I;0 a 4;4;17;0;0,68
HJXXIII;mar̤o;2021;II;5 a 9;8;33;2;2,64
HJXXIII;mar̤o;2021;III;10 a 14;15;44;7;6,6
HJXXIII;mar̤o;2021;IV;15 a 19;25;31;14;7,75
HJXXIII;mar̤o;2021;V;20 a 24;40;18;10;7,2
HJXXIII;mar̤o;2021;VI;25 a 29;55;6;4;3,3
HJXXIII;mar̤o;2021;VII;30 a 34;75;3;0;2,25
HJXXIII;mar̤o;2021;VIII;> 34;85;0;0;0,0
HJXXIII;abril;2021;I;0 a 4;4;5;0;0,2
HJXXIII;abril;2021;II;5 a 9;8;19;1;1,52
HJXXIII;abril;2021;III;10 a 14;15;25;4;3,75
HJXXIII;abril;2021;IV;15 a 19;25;39;6;9,75
HJXXIII;abril;2021;V;20 a 24;40;22;8;8,8
HJXXIII;abril;2021;VI;25 a 29;55;12;8;6,6
HJXXIII;abril;2021;VII;30 a 34;75;2;2;1,5
HJXXIII;abril;2021;VIII;> 34;85;0;0;0,0
HJXXIII;maio;2021;I;0 a 4;4;2;1;0,08
HJXXIII;maio;2021;II;5 a 9;8;24;0;1,92
HJXXIII;maio;2021;III;10 a 14;15;28;4;4,2
HJXXIII;maio;2021;IV;15 a 19;25;39;4;9,75
HJXXIII;maio;2021;V;20 a 24;40;18;8;7,2
HJXXIII;maio;2021;VI;25 a 29;55;9;7;4,95
HJXXIII;maio;2021;VII;30 a 34;75;5;4;3,75
HJXXIII;maio;2021;VIII;> 34;85;0;0;0,0
HJXXIII;junho;2021;I;0 a 4;4;2;0;0,08
HJXXIII;junho;2021;II;5 a 9;8;22;1;1,76
HJXXIII;junho;2021;III;10 a 14;15;34;0;5,1
HJXXIII;junho;2021;IV;15 a 19;25;21;4;5,25
HJXXIII;junho;2021;V;20 a 24;40;29;7;11,6
HJXXIII;junho;2021;VI;25 a 29;55;6;4;3,3
HJXXIII;junho;2021;VII;30 a 34;75;4;1;3,0
HJXXIII;junho;2021;VIII;> 34;85;0;0;0,0
HJXXIII;julho;2021;I;0 a 4;4;2;0;0,08
HJXXIII;julho;2021;II;5 a 9;8;32;0;2,56
HJXXIII;julho;2021;III;10 a 14;15;35;1;5,25
HJXXIII;julho;2021;IV;15 a 19;25;35;3;8,75
HJXXIII;julho;2021;V;20 a 24;40;21;9;8,4
HJXXIII;julho;2021;VI;25 a 29;55;7;2;3,85
HJXXIII;julho;2021;VII;30 a 34;75;3;3;2,25
HJXXIII;julho;2021;VIII;> 34;85;3;2;2,55
HJXXIII;agosto;2021;I;0 a 4;4;2;0;0,08
HJXXIII;agosto;2021;II;5 a 9;8;32;0;2,56
HJXXIII;agosto;2021;III;10 a 14;15;35;1;5,25
HJXXIII;agosto;2021;IV;15 a 19;25;35;3;8,75
HJXXIII;agosto;2021;V;20 a 24;40;21;9;8,4
HJXXIII;agosto;2021;VI;25 a 29;55;7;2;3,85
HJXXIII;agosto;2021;VII;30 a 34;75;3;3;2,25
HJXXIII;agosto;2021;VIII;> 34;85;3;2;2,55
HJXXIII;setembro;2021;I;0 a 4;4;5;0;0,2
HJXXIII;setembro;2021;II;5 a 9;8;15;0;1,2
HJXXIII;setembro;2021;III;10 a 14;15;43;2;6,45
