excluir;unidade;ano;mes;grau;score;predicao_obito;saidas;obitos_esperados;obitos_ocorridos
12/2020;HJXXIII;2020;12;I;0 a 4;4;12;0,48;0
12/2020;HJXXIII;2020;12;II;5 a 9;8;31;2,48;0
12/2020;HJXXIII;2020;12;III;10 a 14;15;39;5,85;6
12/2020;HJXXIII;2020;12;IV;15 a 19;25;24;6,0;4
12/2020;HJXXIII;2020;12;V;20 a 24;40;10;4,0;4
12/2020;HJXXIII;2020;12;VI;25 a 29;55;8;4,4;5
12/2020;HJXXIII;2020;12;VII;30 a 34;75;4;3,0;3
12/2020;HJXXIII;2020;12;VIII;> 34;85;0;0,0;0
12/2020;HRAD;2020;12;I;0 a 4;4;2;0,08;0
12/2020;HRAD;2020;12;II;5 a 9;8;7;0,56;0
12/2020;HRAD;2020;12;III;10 a 14;15;9;1,35;1
12/2020;HRAD;2020;12;IV;15 a 19;25;11;2,75;0
12/2020;HRAD;2020;12;V;20 a 24;40;11;4,4;2
12/2020;HRAD;2020;12;VI;25 a 29;55;3;1,65;0
12/2020;HRAD;2020;12;VII;30 a 34;75;1;0,75;0
12/2020;HRAD;2020;12;VIII;> 34;85;0;0,0;0
12/2020;HRBJA;2020;12;I;0 a 4;4;0;0,0;0
12/2020;HRBJA;2020;12;II;5 a 9;8;0;0,0;0
12/2020;HRBJA;2020;12;III;10 a 14;15;0;0,0;0
12/2020;HRBJA;2020;12;IV;15 a 19;25;0;0,0;0
12/2020;HRBJA;2020;12;V;20 a 24;40;0;0,0;0
12/2020;HRBJA;2020;12;VI;25 a 29;55;0;0,0;0
12/2020;HRBJA;2020;12;VII;30 a 34;75;0;0,0;0
12/2020;HRBJA;2020;12;VIII;> 34;85;0;0,0;0
12/2020;HRJP;2020;12;I;0 a 4;4;2;0,08;0
12/2020;HRJP;2020;12;II;5 a 9;8;2;0,16;0
12/2020;HRJP;2020;12;III;10 a 14;15;20;3,0;2
12/2020;HRJP;2020;12;IV;15 a 19;25;25;6,25;9
12/2020;HRJP;2020;12;V;20 a 24;40;12;4,8;6
12/2020;HRJP;2020;12;VI;25 a 29;55;0;0,0;0
12/2020;HRJP;2020;12;VII;30 a 34;75;0;0,0;0
12/2020;HRJP;2020;12;VIII;> 34;85;0;0,0;0
12/2020;MOV;2020;12;I;0 a 4;4;0;0,0;0
12/2020;MOV;2020;12;II;5 a 9;8;0;0,0;0
12/2020;MOV;2020;12;III;10 a 14;15;0;0,0;0
12/2020;MOV;2020;12;IV;15 a 19;25;0;0,0;0
12/2020;MOV;2020;12;V;20 a 24;40;0;0,0;0
12/2020;MOV;2020;12;VI;25 a 29;55;0;0,0;0
12/2020;MOV;2020;12;VII;30 a 34;75;0;0,0;0
12/2020;MOV;2020;12;VIII;> 34;85;0;0,0;0
01/2021;HAC;2021;1;I;0 a 4;4;0;0,0;0
01/2021;HAC;2021;1;II;5 a 9;8;5;0,4;0
01/2021;HAC;2021;1;III;10 a 14;15;9;1,35;0
01/2021;HAC;2021;1;IV;15 a 19;25;4;1,0;1
01/2021;HAC;2021;1;V;20 a 24;40;11;4,4;3
01/2021;HAC;2021;1;VI;25 a 29;55;3;1,65;2
01/2021;HAC;2021;1;VII;30 a 34;75;0;0,0;0
01/2021;HAC;2021;1;VIII;> 34;85;2;1,7;2
01/2021;HEM;2021;1;I;0 a 4;4;0;0,0;0
01/2021;HEM;2021;1;II;5 a 9;8;8;0,64;2
01/2021;HEM;2021;1;III;10 a 14;15;22;3,3;7
01/2021;HEM;2021;1;IV;15 a 19;25;11;2,75;6
01/2021;HEM;2021;1;V;20 a 24;40;16;6,4;7
01/2021;HEM;2021;1;VI;25 a 29;55;8;4,4;5
01/2021;HEM;2021;1;VII;30 a 34;75;8;6,0;6
01/2021;HEM;2021;1;VIII;> 34;85;7;5,95;7
01/2021;HJK;2021;1;I;0 a 4;4;89;3,5999999999999996;5
01/2021;HJK;2021;1;II;5 a 9;8;194;15,56;20
01/2021;HJK;2021;1;III;10 a 14;15;232;34,95;13
01/2021;HJK;2021;1;IV;15 a 19;25;210;52,6;27
01/2021;HJK;2021;1;V;20 a 24;40;131;52,4;26
01/2021;HJK;2021;1;VI;25 a 29;55;69;38,0;26
01/2021;HJK;2021;1;VII;30 a 34;75;33;24,85;15
01/2021;HJK;2021;1;VIII;> 34;85;20;17,05;17
01/2021;HJXXIII;2021;1;I;0 a 4;4;13;0,52;0
01/2021;HJXXIII;2021;1;II;5 a 9;8;34;2,72;1
01/2021;HJXXIII;2021;1;III;10 a 14;15;39;5,85;4
01/2021;HJXXIII;2021;1;IV;15 a 19;25;27;6,75;4
01/2021;HJXXIII;2021;1;V;20 a 24;40;9;3,6;6
01/2021;HJXXIII;2021;1;VI;25 a 29;55;7;3,85;4
01/2021;HJXXIII;2021;1;VII;30 a 34;75;3;2,25;3
01/2021;HJXXIII;2021;1;VIII;> 34;85;0;0,0;0
01/2021;HRAD;2021;1;I;0 a 4;4;0;0,0;0
01/2021;HRAD;2021;1;II;5 a 9;8;1;0,08;0
01/2021;HRAD;2021;1;III;10 a 14;15;7;1,05;1
01/2021;HRAD;2021;1;IV;15 a 19;25;7;1,75;1
01/2021;HRAD;2021;1;V;20 a 24;40;7;2,8;1
01/2021;HRAD;2021;1;VI;25 a 29;55;3;1,65;2
01/2021;HRAD;2021;1;VII;30 a 34;75;0;0,0;0
01/2021;HRAD;2021;1;VIII;> 34;85;0;0,0;0
01/2021;HRBJA;2021;1;I;0 a 4;4;0;0,0;0
01/2021;HRBJA;2021;1;II;5 a 9;8;4;0,32;0
01/2021;HRBJA;2021;1;III;10 a 14;15;5;0,75;2
01/2021;HRBJA;2021;1;IV;15 a 19;25;10;2,5;2
01/2021;HRBJA;2021;1;V;20 a 24;40;3;1,2;1
01/2021;HRBJA;2021;1;VI;25 a 29;55;2;1,1;2
01/2021;HRBJA;2021;1;VII;30 a 34;75;0;0,0;0
01/2021;HRBJA;2021;1;VIII;> 34;85;0;0,0;0
01/2021;HRJP;2021;1;I;0 a 4;4;3;0,12;0
01/2021;HRJP;2021;1;II;5 a 9;8;3;0,24;1
01/2021;HRJP;2021;1;III;10 a 14;15;21;3,15;1
01/2021;HRJP;2021;1;IV;15 a 19;25;26;6,5;9
01/2021;HRJP;2021;1;V;20 a 24;40;10;4,0;5
01/2021;HRJP;2021;1;VI;25 a 29;55;0;0,0;0
01/2021;HRJP;2021;1;VII;30 a 34;75;0;0,0;0
01/2021;HRJP;2021;1;VIII;> 34;85;0;0,0;0
01/2021;MOV;2021;1;I;0 a 4;4;0;0,0;0
01/2021;MOV;2021;1;II;5 a 9;8;0;0,0;0
01/2021;MOV;2021;1;III;10 a 14;15;0;0,0;0
01/2021;MOV;2021;1;IV;15 a 19;25;0;0,0;0
01/2021;MOV;2021;1;V;20 a 24;40;0;0,0;0
01/2021;MOV;2021;1;VI;25 a 29;55;0;0,0;0
01/2021;MOV;2021;1;VII;30 a 34;75;0;0,0;0
01/2021;MOV;2021;1;VIII;> 34;85;0;0,0;0
02/2021;HAC;2021;2;I;0 a 4;4;2;0,08;0
02/2021;HAC;2021;2;II;5 a 9;8;8;0,64;1
02/2021;HAC;2021;2;III;10 a 14;15;16;2,4;0
02/2021;HAC;2021;2;IV;15 a 19;25;6;1,5;0
02/2021;HAC;2021;2;V;20 a 24;40;1;0,4;0
02/2021;HAC;2021;2;VI;25 a 29;55;0;0,0;0
02/2021;HAC;2021;2;VII;30 a 34;75;0;0,0;0
02/2021;HAC;2021;2;VIII;> 34;85;0;0,0;0
02/2021;HEM;2021;2;I;0 a 4;4;1;0,04;0
02/2021;HEM;2021;2;II;5 a 9;8;10;0,8;0
02/2021;HEM;2021;2;III;10 a 14;15;19;2,85;3
02/2021;HEM;2021;2;IV;15 a 19;25;9;2,25;4
02/2021;HEM;2021;2;V;20 a 24;40;7;2,8;1
02/2021;HEM;2021;2;VI;25 a 29;55;6;3,3;3
02/2021;HEM;2021;2;VII;30 a 34;75;7;5,25;4
02/2021;HEM;2021;2;VIII;> 34;85;3;2,55;2
02/2021;HJK;2021;2;I;0 a 4;4;89;3,5999999999999996;5
02/2021;HJK;2021;2;II;5 a 9;8;196;15,72;20
02/2021;HJK;2021;2;III;10 a 14;15;234;35,25;16
02/2021;HJK;2021;2;IV;15 a 19;25;226;56,6;33
02/2021;HJK;2021;2;V;20 a 24;40;138;55,2;27
02/2021;HJK;2021;2;VI;25 a 29;55;71;39,099999999999994;28
02/2021;HJK;2021;2;VII;30 a 34;75;36;27,1;17
02/2021;HJK;2021;2;VIII;> 34;85;21;17,9;17
02/2021;HJXXIII;2021;2;I;0 a 4;4;18;0,72;0
02/2021;HJXXIII;2021;2;II;5 a 9;8;30;2,4;6
02/2021;HJXXIII;2021;2;III;10 a 14;15;39;5,85;6
02/2021;HJXXIII;2021;2;IV;15 a 19;25;19;4,75;7
02/2021;HJXXIII;2021;2;V;20 a 24;40;5;2,0;2
02/2021;HJXXIII;2021;2;VI;25 a 29;55;4;2,2;2
02/2021;HJXXIII;2021;2;VII;30 a 34;75;1;0,75;0
02/2021;HJXXIII;2021;2;VIII;> 34;85;0;0,0;0
02/2021;HRAD;2021;2;I;0 a 4;4;0;0,0;0
02/2021;HRAD;2021;2;II;5 a 9;8;5;0,4;1
02/2021;HRAD;2021;2;III;10 a 14;15;9;1,35;0
02/2021;HRAD;2021;2;IV;15 a 19;25;6;1,5;0
02/2021;HRAD;2021;2;V;20 a 24;40;9;3,6;3
02/2021;HRAD;2021;2;VI;25 a 29;55;1;0,55;1
02/2021;HRAD;2021;2;VII;30 a 34;75;1;0,75;1
02/2021;HRAD;2021;2;VIII;> 34;85;0;0,0;0
02/2021;HRBJA;2021;2;I;0 a 4;4;0;0,0;0
02/2021;HRBJA;2021;2;II;5 a 9;8;3;0,24;0
02/2021;HRBJA;2021;2;III;10 a 14;15;6;0,9;0
02/2021;HRBJA;2021;2;IV;15 a 19;25;11;2,75;2
02/2021;HRBJA;2021;2;V;20 a 24;40;2;0,8;0
02/2021;HRBJA;2021;2;VI;25 a 29;55;3;1,65;1
02/2021;HRBJA;2021;2;VII;30 a 34;75;3;2,25;3
02/2021;HRBJA;2021;2;VIII;> 34;85;1;0,85;0
02/2021;HRJP;2021;2;I;0 a 4;4;2;0,08;0
02/2021;HRJP;2021;2;II;5 a 9;8;3;0,24;1
02/2021;HRJP;2021;2;III;10 a 14;15;5;0,75;0
02/2021;HRJP;2021;2;IV;15 a 19;25;17;4,25;7
02/2021;HRJP;2021;2;V;20 a 24;40;11;4,4;6
02/2021;HRJP;2021;2;VI;25 a 29;55;4;2,2;2
02/2021;HRJP;2021;2;VII;30 a 34;75;1;0,75;0
02/2021;HRJP;2021;2;VIII;> 34;85;0;0,0;0
02/2021;MOV;2021;2;I;0 a 4;4;0;0,0;0
02/2021;MOV;2021;2;II;5 a 9;8;0;0,0;0
02/2021;MOV;2021;2;III;10 a 14;15;0;0,0;0
02/2021;MOV;2021;2;IV;15 a 19;25;0;0,0;0
02/2021;MOV;2021;2;V;20 a 24;40;0;0,0;0
02/2021;MOV;2021;2;VI;25 a 29;55;0;0,0;0
02/2021;MOV;2021;2;VII;30 a 34;75;0;0,0;0
02/2021;MOV;2021;2;VIII;> 34;85;0;0,0;0
03/2021;HAC;2021;3;I;0 a 4;4;0;0,0;0
03/2021;HAC;2021;3;II;5 a 9;8;9;0,72;0
03/2021;HAC;2021;3;III;10 a 14;15;11;1,65;0
03/2021;HAC;2021;3;IV;15 a 19;25;12;3,0;0
03/2021;HAC;2021;3;V;20 a 24;40;3;1,2;0
03/2021;HAC;2021;3;VI;25 a 29;55;3;1,65;1
03/2021;HAC;2021;3;VII;30 a 34;75;3;2,25;1
03/2021;HAC;2021;3;VIII;> 34;85;1;0,85;1
03/2021;HEM;2021;3;I;0 a 4;4;0;0,0;0
03/2021;HEM;2021;3;II;5 a 9;8;11;0,88;2
03/2021;HEM;2021;3;III;10 a 14;15;35;5,25;9
03/2021;HEM;2021;3;IV;15 a 19;25;14;3,5;6
03/2021;HEM;2021;3;V;20 a 24;40;17;6,8;10
03/2021;HEM;2021;3;VI;25 a 29;55;16;8,8;9
03/2021;HEM;2021;3;VII;30 a 34;75;6;4,5;3
03/2021;HEM;2021;3;VIII;> 34;85;8;6,8;4
03/2021;HJK;2021;3;I;0 a 4;4;90;3,6399999999999997;5
03/2021;HJK;2021;3;II;5 a 9;8;203;16,28;20
03/2021;HJK;2021;3;III;10 a 14;15;239;36,0;18
03/2021;HJK;2021;3;IV;15 a 19;25;231;57,85;37
03/2021;HJK;2021;3;V;20 a 24;40;153;61,2;37
03/2021;HJK;2021;3;VI;25 a 29;55;71;39,099999999999994;30
03/2021;HJK;2021;3;VII;30 a 34;75;42;31,6;17
03/2021;HJK;2021;3;VIII;> 34;85;28;23,85;19
03/2021;HJXXIII;2021;3;I;0 a 4;4;17;0,68;0
03/2021;HJXXIII;2021;3;II;5 a 9;8;33;2,64;2
03/2021;HJXXIII;2021;3;III;10 a 14;15;44;6,6;7
03/2021;HJXXIII;2021;3;IV;15 a 19;25;31;7,75;14
03/2021;HJXXIII;2021;3;V;20 a 24;40;18;7,2;10
03/2021;HJXXIII;2021;3;VI;25 a 29;55;6;3,3;4
03/2021;HJXXIII;2021;3;VII;30 a 34;75;3;2,25;0
03/2021;HJXXIII;2021;3;VIII;> 34;85;0;0,0;0
03/2021;HRAD;2021;3;I;0 a 4;4;0;0,0;0
03/2021;HRAD;2021;3;II;5 a 9;8;1;0,08;0
03/2021;HRAD;2021;3;III;10 a 14;15;5;0,75;2
03/2021;HRAD;2021;3;IV;15 a 19;25;2;0,5;0
03/2021;HRAD;2021;3;V;20 a 24;40;8;3,2;4
03/2021;HRAD;2021;3;VI;25 a 29;55;5;2,75;2
03/2021;HRAD;2021;3;VII;30 a 34;75;0;0,0;0
03/2021;HRAD;2021;3;VIII;> 34;85;0;0,0;0
03/2021;HRBJA;2021;3;I;0 a 4;4;0;0,0;0
03/2021;HRBJA;2021;3;II;5 a 9;8;2;0,16;0
03/2021;HRBJA;2021;3;III;10 a 14;15;1;0,15;0
03/2021;HRBJA;2021;3;IV;15 a 19;25;7;1,75;1
03/2021;HRBJA;2021;3;V;20 a 24;40;8;3,2;3
03/2021;HRBJA;2021;3;VI;25 a 29;55;4;2,2;2
03/2021;HRBJA;2021;3;VII;30 a 34;75;0;0,0;0
03/2021;HRBJA;2021;3;VIII;> 34;85;0;0,0;0
03/2021;HRJP;2021;3;I;0 a 4;4;0;0,0;0
03/2021;HRJP;2021;3;II;5 a 9;8;3;0,24;0
03/2021;HRJP;2021;3;III;10 a 14;15;20;3,0;3
03/2021;HRJP;2021;3;IV;15 a 19;25;30;7,5;9
03/2021;HRJP;2021;3;V;20 a 24;40;6;2,4;3
03/2021;HRJP;2021;3;VI;25 a 29;55;0;0,0;0
03/2021;HRJP;2021;3;VII;30 a 34;75;0;0,0;0
03/2021;HRJP;2021;3;VIII;> 34;85;0;0,0;0
03/2021;MOV;2021;3;I;0 a 4;4;0;0,0;0
03/2021;MOV;2021;3;II;5 a 9;8;0;0,0;0
03/2021;MOV;2021;3;III;10 a 14;15;0;0,0;0
03/2021;MOV;2021;3;IV;15 a 19;25;0;0,0;0
03/2021;MOV;2021;3;V;20 a 24;40;0;0,0;0
03/2021;MOV;2021;3;VI;25 a 29;55;0;0,0;0
03/2021;MOV;2021;3;VII;30 a 34;75;0;0,0;0
03/2021;MOV;2021;3;VIII;> 34;85;0;0,0;0
04/2021;HAC;2021;4;I;0 a 4;4;0;0,0;0
04/2021;HAC;2021;4;II;5 a 9;8;5;0,4;0
04/2021;HAC;2021;4;III;10 a 14;15;13;1,95;1
04/2021;HAC;2021;4;IV;15 a 19;25;7;1,75;1
04/2021;HAC;2021;4;V;20 a 24;40;4;1,6;2
04/2021;HAC;2021;4;VI;25 a 29;55;4;2,2;3
04/2021;HAC;2021;4;VII;30 a 34;75;4;3,0;4
04/2021;HAC;2021;4;VIII;> 34;85;0;0,0;0
04/2021;HEM;2021;4;I;0 a 4;4;0;0,0;0
04/2021;HEM;2021;4;II;5 a 9;8;1;0,08;1
04/2021;HEM;2021;4;III;10 a 14;15;9;1,35;6
04/2021;HEM;2021;4;IV;15 a 19;25;25;6,25;13
04/2021;HEM;2021;4;V;20 a 24;40;25;10,0;12
04/2021;HEM;2021;4;VI;25 a 29;55;13;7,15;9
04/2021;HEM;2021;4;VII;30 a 34;75;2;1,5;2
04/2021;HEM;2021;4;VIII;> 34;85;9;7,65;7
04/2021;HJK;2021;4;I;0 a 4;4;91;3,6799999999999997;5
04/2021;HJK;2021;4;II;5 a 9;8;203;16,28;22
04/2021;HJK;2021;4;III;10 a 14;15;235;35,4;14
04/2021;HJK;2021;4;IV;15 a 19;25;216;54,1;34
04/2021;HJK;2021;4;V;20 a 24;40;138;55,2;29
04/2021;HJK;2021;4;VI;25 a 29;55;73;40,199999999999996;27
04/2021;HJK;2021;4;VII;30 a 34;75;37;27,85;19
04/2021;HJK;2021;4;VIII;> 34;85;32;27,25;21
04/2021;HJXXIII;2021;4;I;0 a 4;4;5;0,2;0
04/2021;HJXXIII;2021;4;II;5 a 9;8;19;1,52;1
04/2021;HJXXIII;2021;4;III;10 a 14;15;25;3,75;4
04/2021;HJXXIII;2021;4;IV;15 a 19;25;39;9,75;6
04/2021;HJXXIII;2021;4;V;20 a 24;40;22;8,8;8
04/2021;HJXXIII;2021;4;VI;25 a 29;55;12;6,6;8
04/2021;HJXXIII;2021;4;VII;30 a 34;75;2;1,5;2
04/2021;HJXXIII;2021;4;VIII;> 34;85;0;0,0;0
04/2021;HRAD;2021;4;I;0 a 4;4;0;0,0;0
04/2021;HRAD;2021;4;II;5 a 9;8;0;0,0;0
04/2021;HRAD;2021;4;III;10 a 14;15;2;0,3;0
04/2021;HRAD;2021;4;IV;15 a 19;25;11;2,75;2
04/2021;HRAD;2021;4;V;20 a 24;40;8;3,2;3
04/2021;HRAD;2021;4;VI;25 a 29;55;2;1,1;1
04/2021;HRAD;2021;4;VII;30 a 34;75;0;0,0;0
04/2021;HRAD;2021;4;VIII;> 34;85;0;0,0;0
04/2021;HRBJA;2021;4;I;0 a 4;4;0;0,0;0
04/2021;HRBJA;2021;4;II;5 a 9;8;4;0,32;0
04/2021;HRBJA;2021;4;III;10 a 14;15;9;1,35;0
04/2021;HRBJA;2021;4;IV;15 a 19;25;8;2,0;1
04/2021;HRBJA;2021;4;V;20 a 24;40;4;1,6;2
04/2021;HRBJA;2021;4;VI;25 a 29;55;6;3,3;5
04/2021;HRBJA;2021;4;VII;30 a 34;75;2;1,5;1
04/2021;HRBJA;2021;4;VIII;> 34;85;1;0,85;1
04/2021;HRJP;2021;4;I;0 a 4;4;0;0,0;0
04/2021;HRJP;2021;4;II;5 a 9;8;2;0,16;0
04/2021;HRJP;2021;4;III;10 a 14;15;18;2,7;4
04/2021;HRJP;2021;4;IV;15 a 19;25;30;7,5;4
04/2021;HRJP;2021;4;V;20 a 24;40;7;2,8;3
04/2021;HRJP;2021;4;VI;25 a 29;55;0;0,0;0
04/2021;HRJP;2021;4;VII;30 a 34;75;0;0,0;0
04/2021;HRJP;2021;4;VIII;> 34;85;0;0,0;0
04/2021;MOV;2021;4;I;0 a 4;4;0;0,0;0
04/2021;MOV;2021;4;II;5 a 9;8;0;0,0;0
04/2021;MOV;2021;4;III;10 a 14;15;0;0,0;0
04/2021;MOV;2021;4;IV;15 a 19;25;0;0,0;0
04/2021;MOV;2021;4;V;20 a 24;40;0;0,0;0
04/2021;MOV;2021;4;VI;25 a 29;55;0;0,0;0
04/2021;MOV;2021;4;VII;30 a 34;75;0;0,0;0
04/2021;MOV;2021;4;VIII;> 34;85;0;0,0;0
05/2021;HAC;2021;5;I;0 a 4;4;0;0,0;0
05/2021;HAC;2021;5;II;5 a 9;8;6;0,48;0
05/2021;HAC;2021;5;III;10 a 14;15;13;1,95;0
05/2021;HAC;2021;5;IV;15 a 19;25;11;2,75;0
05/2021;HAC;2021;5;V;20 a 24;40;5;2,0;0
05/2021;HAC;2021;5;VI;25 a 29;55;1;0,55;0
05/2021;HAC;2021;5;VII;30 a 34;75;1;0,75;1
05/2021;HAC;2021;5;VIII;> 34;85;0;0,0;0
05/2021;HEM;2021;5;I;0 a 4;4;0;0,0;0
05/2021;HEM;2021;5;II;5 a 9;8;3;0,24;0
05/2021;HEM;2021;5;III;10 a 14;15;17;2,55;7
05/2021;HEM;2021;5;IV;15 a 19;25;19;4,75;8
05/2021;HEM;2021;5;V;20 a 24;40;14;5,6;4
05/2021;HEM;2021;5;VI;25 a 29;55;7;3,85;4
05/2021;HEM;2021;5;VII;30 a 34;75;3;2,25;2
05/2021;HEM;2021;5;VIII;> 34;85;3;2,55;3
05/2021;HJK;2021;5;I;0 a 4;4;97;3,92;7
05/2021;HJK;2021;5;II;5 a 9;8;215;17,240000000000002;21
05/2021;HJK;2021;5;III;10 a 14;15;238;35,85;15
05/2021;HJK;2021;5;IV;15 a 19;25;209;52,35;31
05/2021;HJK;2021;5;V;20 a 24;40;137;54,8;28
05/2021;HJK;2021;5;VI;25 a 29;55;64;35,25;26
05/2021;HJK;2021;5;VII;30 a 34;75;47;35,35;20
05/2021;HJK;2021;5;VIII;> 34;85;24;20,450000000000003;18
05/2021;HJXXIII;2021;5;I;0 a 4;4;2;0,08;1
05/2021;HJXXIII;2021;5;II;5 a 9;8;24;1,92;0
05/2021;HJXXIII;2021;5;III;10 a 14;15;28;4,2;4
05/2021;HJXXIII;2021;5;IV;15 a 19;25;39;9,75;4
05/2021;HJXXIII;2021;5;V;20 a 24;40;18;7,2;8
05/2021;HJXXIII;2021;5;VI;25 a 29;55;9;4,95;7
05/2021;HJXXIII;2021;5;VII;30 a 34;75;5;3,75;4
05/2021;HJXXIII;2021;5;VIII;> 34;85;0;0,0;0
05/2021;HRAD;2021;5;I;0 a 4;4;0;0,0;0
05/2021;HRAD;2021;5;II;5 a 9;8;1;0,08;1
05/2021;HRAD;2021;5;III;10 a 14;15;4;0,6;0
05/2021;HRAD;2021;5;IV;15 a 19;25;8;2,0;2
05/2021;HRAD;2021;5;V;20 a 24;40;5;2,0;0
05/2021;HRAD;2021;5;VI;25 a 29;55;5;2,75;3
05/2021;HRAD;2021;5;VII;30 a 34;75;1;0,75;1
05/2021;HRAD;2021;5;VIII;> 34;85;0;0,0;0
05/2021;HRBJA;2021;5;I;0 a 4;4;0;0,0;0
05/2021;HRBJA;2021;5;II;5 a 9;8;2;0,16;0
05/2021;HRBJA;2021;5;III;10 a 14;15;3;0,45;0
05/2021;HRBJA;2021;5;IV;15 a 19;25;13;3,25;3
05/2021;HRBJA;2021;5;V;20 a 24;40;3;1,2;1
05/2021;HRBJA;2021;5;VI;25 a 29;55;4;2,2;1
05/2021;HRBJA;2021;5;VII;30 a 34;75;1;0,75;0
05/2021;HRBJA;2021;5;VIII;> 34;85;0;0,0;0
05/2021;HRJP;2021;5;I;0 a 4;4;0;0,0;0
05/2021;HRJP;2021;5;II;5 a 9;8;3;0,24;0
05/2021;HRJP;2021;5;III;10 a 14;15;22;3,3;3
05/2021;HRJP;2021;5;IV;15 a 19;25;25;6,25;4
05/2021;HRJP;2021;5;V;20 a 24;40;5;2,0;0
05/2021;HRJP;2021;5;VI;25 a 29;55;0;0,0;0
05/2021;HRJP;2021;5;VII;30 a 34;75;0;0,0;0
05/2021;HRJP;2021;5;VIII;> 34;85;0;0,0;0
05/2021;MOV;2021;5;I;0 a 4;4;0;0,0;0
05/2021;MOV;2021;5;II;5 a 9;8;0;0,0;0
05/2021;MOV;2021;5;III;10 a 14;15;0;0,0;0
05/2021;MOV;2021;5;IV;15 a 19;25;0;0,0;0
05/2021;MOV;2021;5;V;20 a 24;40;0;0,0;0
05/2021;MOV;2021;5;VI;25 a 29;55;0;0,0;0
05/2021;MOV;2021;5;VII;30 a 34;75;0;0,0;0
05/2021;MOV;2021;5;VIII;> 34;85;0;0,0;0
06/2021;HAC;2021;6;I;0 a 4;4;1;0,04;0
06/2021;HAC;2021;6;II;5 a 9;8;3;0,24;0
06/2021;HAC;2021;6;III;10 a 14;15;19;2,85;0
06/2021;HAC;2021;6;IV;15 a 19;25;13;3,25;0
06/2021;HAC;2021;6;V;20 a 24;40;8;3,2;2
06/2021;HAC;2021;6;VI;25 a 29;55;3;1,65;3
06/2021;HAC;2021;6;VII;30 a 34;75;4;3,0;3
06/2021;HAC;2021;6;VIII;> 34;85;2;1,7;2
06/2021;HEM;2021;6;I;0 a 4;4;0;0,0;0
06/2021;HEM;2021;6;II;5 a 9;8;1;0,08;0
06/2021;HEM;2021;6;III;10 a 14;15;17;2,55;7
06/2021;HEM;2021;6;IV;15 a 19;25;26;6,5;8
06/2021;HEM;2021;6;V;20 a 24;40;12;4,8;1
06/2021;HEM;2021;6;VI;25 a 29;55;9;4,95;2
06/2021;HEM;2021;6;VII;30 a 34;75;3;2,25;2
06/2021;HEM;2021;6;VIII;> 34;85;1;0,85;1
06/2021;HJK;2021;6;I;0 a 4;4;104;4,199999999999999;6
06/2021;HJK;2021;6;II;5 a 9;8;215;17,240000000000002;23
06/2021;HJK;2021;6;III;10 a 14;15;241;36,3;15
06/2021;HJK;2021;6;IV;15 a 19;25;207;51,85;28
06/2021;HJK;2021;6;V;20 a 24;40;139;55,6;29
06/2021;HJK;2021;6;VI;25 a 29;55;65;35,8;26
06/2021;HJK;2021;6;VII;30 a 34;75;42;31,6;15
06/2021;HJK;2021;6;VIII;> 34;85;27;23,0;19
06/2021;HJXXIII;2021;6;I;0 a 4;4;2;0,08;0
06/2021;HJXXIII;2021;6;II;5 a 9;8;22;1,76;1
06/2021;HJXXIII;2021;6;III;10 a 14;15;34;5,1;0
06/2021;HJXXIII;2021;6;IV;15 a 19;25;21;5,25;4
06/2021;HJXXIII;2021;6;V;20 a 24;40;29;11,6;7
06/2021;HJXXIII;2021;6;VI;25 a 29;55;6;3,3;4
06/2021;HJXXIII;2021;6;VII;30 a 34;75;4;3,0;1
06/2021;HJXXIII;2021;6;VIII;> 34;85;0;0,0;0
06/2021;HRAD;2021;6;I;0 a 4;4;0;0,0;0
06/2021;HRAD;2021;6;II;5 a 9;8;1;0,08;0
06/2021;HRAD;2021;6;III;10 a 14;15;3;0,45;1
06/2021;HRAD;2021;6;IV;15 a 19;25;4;1,0;3
06/2021;HRAD;2021;6;V;20 a 24;40;7;2,8;4
06/2021;HRAD;2021;6;VI;25 a 29;55;4;2,2;3
06/2021;HRAD;2021;6;VII;30 a 34;75;0;0,0;0
06/2021;HRAD;2021;6;VIII;> 34;85;0;0,0;0
06/2021;HRBJA;2021;6;I;0 a 4;4;0;0,0;0
06/2021;HRBJA;2021;6;II;5 a 9;8;1;0,08;0
06/2021;HRBJA;2021;6;III;10 a 14;15;4;0,6;1
06/2021;HRBJA;2021;6;IV;15 a 19;25;5;1,25;0
06/2021;HRBJA;2021;6;V;20 a 24;40;1;0,4;1
06/2021;HRBJA;2021;6;VI;25 a 29;55;6;3,3;4
06/2021;HRBJA;2021;6;VII;30 a 34;75;1;0,75;1
06/2021;HRBJA;2021;6;VIII;> 34;85;1;0,85;1
06/2021;HRJP;2021;6;I;0 a 4;4;1;0,04;0
06/2021;HRJP;2021;6;II;5 a 9;8;2;0,16;0
06/2021;HRJP;2021;6;III;10 a 14;15;15;2,25;1
06/2021;HRJP;2021;6;IV;15 a 19;25;21;5,25;4
06/2021;HRJP;2021;6;V;20 a 24;40;12;4,8;3
06/2021;HRJP;2021;6;VI;25 a 29;55;0;0,0;0
06/2021;HRJP;2021;6;VII;30 a 34;75;0;0,0;0
06/2021;HRJP;2021;6;VIII;> 34;85;0;0,0;0
06/2021;MOV;2021;6;I;0 a 4;4;0;0,0;0
