excluir;unidade;ano;mes;grau;score;predicao_obito;saidas;obitos_esperados;obitos_ocorridos
10/2019;HRJP;2019;10;II;5 a 9;8;0;0,0;0
10/2019;HRJP;2019;10;III;10 a 14;15;14;2,1;2
10/2019;HRJP;2019;10;IV;15 a 19;25;5;1,25;1
10/2019;HRJP;2019;10;V;20 a 24;40;0;0,0;0
10/2019;HRJP;2019;10;VI;25 a 29;55;3;1,65;1
10/2019;HRJP;2019;10;VII;30 a 34;75;0;0,0;0
10/2019;HRJP;2019;10;VIII;> 34;85;1;0,85;0
10/2019;MOV;2019;10;I;0 a 4;4;0;0,0;0
10/2019;MOV;2019;10;II;5 a 9;8;0;0,0;0
10/2019;MOV;2019;10;III;10 a 14;15;0;0,0;0
10/2019;MOV;2019;10;IV;15 a 19;25;0;0,0;0
10/2019;MOV;2019;10;V;20 a 24;40;0;0,0;0
10/2019;MOV;2019;10;VI;25 a 29;55;0;0,0;0
10/2019;MOV;2019;10;VII;30 a 34;75;0;0,0;0
10/2019;MOV;2019;10;VIII;> 34;85;0;0,0;0
11/2019;HAC;2019;11;I;0 a 4;4;0;0,0;0
11/2019;HAC;2019;11;II;5 a 9;8;9;0,72;0
11/2019;HAC;2019;11;III;10 a 14;15;22;3,3;0
11/2019;HAC;2019;11;IV;15 a 19;25;6;1,5;0
11/2019;HAC;2019;11;V;20 a 24;40;1;0,4;0
11/2019;HAC;2019;11;VI;25 a 29;55;0;0,0;0
11/2019;HAC;2019;11;VII;30 a 34;75;1;0,75;1
11/2019;HAC;2019;11;VIII;> 34;85;0;0,0;0
11/2019;HEM;2019;11;I;0 a 4;4;0;0,0;0
11/2019;HEM;2019;11;II;5 a 9;8;2;0,16;0
11/2019;HEM;2019;11;III;10 a 14;15;1;0,15;0
11/2019;HEM;2019;11;IV;15 a 19;25;11;2,75;2
11/2019;HEM;2019;11;V;20 a 24;40;8;3,2;1
11/2019;HEM;2019;11;VI;25 a 29;55;6;3,3;3
11/2019;HEM;2019;11;VII;30 a 34;75;3;2,25;2
11/2019;HEM;2019;11;VIII;> 34;85;2;1,7;2
11/2019;HJK;2019;11;I;0 a 4;4;89;3,5999999999999996;5
11/2019;HJK;2019;11;II;5 a 9;8;193;15,48;20
11/2019;HJK;2019;11;III;10 a 14;15;229;34,5;12
11/2019;HJK;2019;11;IV;15 a 19;25;213;53,35;28
11/2019;HJK;2019;11;V;20 a 24;40;134;53,599999999999994;26
11/2019;HJK;2019;11;VI;25 a 29;55;69;38,0;26
11/2019;HJK;2019;11;VII;30 a 34;75;37;27,85;17
11/2019;HJK;2019;11;VIII;> 34;85;18;15,350000000000001;15
11/2019;HJXXIII;2019;11;I;0 a 4;4;11;0,44;0
11/2019;HJXXIII;2019;11;II;5 a 9;8;21;1,68;1
11/2019;HJXXIII;2019;11;III;10 a 14;15;19;2,85;0
11/2019;HJXXIII;2019;11;IV;15 a 19;25;23;5,75;4
11/2019;HJXXIII;2019;11;V;20 a 24;40;4;1,6;0
11/2019;HJXXIII;2019;11;VI;25 a 29;55;4;2,2;1
11/2019;HJXXIII;2019;11;VII;30 a 34;75;0;0,0;0
11/2019;HJXXIII;2019;11;VIII;> 34;85;0;0,0;0
11/2019;HRAD;2019;11;I;0 a 4;4;1;0,04;0
11/2019;HRAD;2019;11;II;5 a 9;8;5;0,4;0
11/2019;HRAD;2019;11;III;10 a 14;15;24;3,6;1
11/2019;HRAD;2019;11;IV;15 a 19;25;21;5,25;2
11/2019;HRAD;2019;11;V;20 a 24;40;8;3,2;0
11/2019;HRAD;2019;11;VI;25 a 29;55;6;3,3000000000000003;2
11/2019;HRAD;2019;11;VII;30 a 34;75;4;3,0;1
11/2019;HRAD;2019;11;VIII;> 34;85;1;0,85;1
11/2019;HRBJA;2019;11;I;0 a 4;4;0;0,0;0
11/2019;HRBJA;2019;11;II;5 a 9;8;0;0,0;0
11/2019;HRBJA;2019;11;III;10 a 14;15;0;0,0;0
11/2019;HRBJA;2019;11;IV;15 a 19;25;0;0,0;0
11/2019;HRBJA;2019;11;V;20 a 24;40;0;0,0;0
11/2019;HRBJA;2019;11;VI;25 a 29;55;0;0,0;0
11/2019;HRBJA;2019;11;VII;30 a 34;75;0;0,0;0
11/2019;HRBJA;2019;11;VIII;> 34;85;0;0,0;0
11/2019;HRJP;2019;11;I;0 a 4;4;5;0,2;0
11/2019;HRJP;2019;11;II;5 a 9;8;4;0,32;0
11/2019;HRJP;2019;11;III;10 a 14;15;29;4,35;5
11/2019;HRJP;2019;11;IV;15 a 19;25;12;3,0;2
