unidade;mes;ano;grau;escore;predicao_obito;saidas;obitos_ocorridos;obitos_esperados
HRBJA;janeiro;2018;I;0 a 4;4;0;0;0,0
HRBJA;janeiro;2018;II;5 a 9;8;1;0;0,08
HRBJA;janeiro;2018;III;10 a 14;15;4;0;0,6
HRBJA;janeiro;2018;IV;15 a 19;25;6;0;1,5
HRBJA;janeiro;2018;V;20 a 24;40;5;2;2,0
HRBJA;janeiro;2018;VI;25 a 29;55;3;1;1,65
HRBJA;janeiro;2018;VII;30 a 34;75;2;0;1,5
HRBJA;janeiro;2018;VIII;> 34;85;3;3;2,55
HRBJA;fevereiro;2018;I;0 a 4;4;0;0;0,0
HRBJA;fevereiro;2018;II;5 a 9;8;0;0;0,0
HRBJA;fevereiro;2018;III;10 a 14;15;2;0;0,3
HRBJA;fevereiro;2018;IV;15 a 19;25;10;4;2,5
HRBJA;fevereiro;2018;V;20 a 24;40;7;2;2,8
HRBJA;fevereiro;2018;VI;25 a 29;55;5;2;2,75
HRBJA;fevereiro;2018;VII;30 a 34;75;1;1;0,75
HRBJA;fevereiro;2018;VIII;> 34;85;1;1;0,85
HRBJA;mar̤o;2018;I;0 a 4;4;0;0;0,0
HRBJA;mar̤o;2018;II;5 a 9;8;1;0;0,08
HRBJA;mar̤o;2018;III;10 a 14;15;3;0;0,45
HRBJA;mar̤o;2018;IV;15 a 19;25;5;1;1,25
HRBJA;mar̤o;2018;V;20 a 24;40;4;0;1,6
HRBJA;mar̤o;2018;VI;25 a 29;55;8;3;4,4
HRBJA;mar̤o;2018;VII;30 a 34;75;2;1;1,5
HRBJA;mar̤o;2018;VIII;> 34;85;1;1;0,85
HRBJA;abril;2018;I;0 a 4;4;0;0;0,0
HRBJA;abril;2018;II;5 a 9;8;0;0;0,0
HRBJA;abril;2018;III;10 a 14;15;5;1;0,75
HRBJA;abril;2018;IV;15 a 19;25;2;1;0,5
HRBJA;abril;2018;V;20 a 24;40;5;2;2,0
HRBJA;abril;2018;VI;25 a 29;55;5;3;2,75
HRBJA;abril;2018;VII;30 a 34;75;2;2;1,5
HRBJA;abril;2018;VIII;> 34;85;1;1;0,85
HRBJA;maio;2018;I;0 a 4;4;0;0;0,0
HRBJA;maio;2018;II;5 a 9;8;2;0;0,16
HRBJA;maio;2018;III;10 a 14;15;1;0;0,15
HRBJA;maio;2018;IV;15 a 19;25;5;2;1,25
HRBJA;maio;2018;V;20 a 24;40;9;1;3,6
HRBJA;maio;2018;VI;25 a 29;55;5;1;2,75
HRBJA;maio;2018;VII;30 a 34;75;7;1;5,25
HRBJA;maio;2018;VIII;> 34;85;2;2;1,7
HRBJA;junho;2018;I;0 a 4;4;1;0;0,04
HRBJA;junho;2018;II;5 a 9;8;0;0;0,0
HRBJA;junho;2018;III;10 a 14;15;4;0;0,6
HRBJA;junho;2018;IV;15 a 19;25;3;0;0,75
HRBJA;junho;2018;V;20 a 24;40;4;1;1,6
HRBJA;junho;2018;VI;25 a 29;55;6;2;3,3
HRBJA;junho;2018;VII;30 a 34;75;6;5;4,5
HRBJA;junho;2018;VIII;> 34;85;1;0;0,85
HRBJA;agosto;2018;I;0 a 4;4;0;0;0,0
HRBJA;agosto;2018;II;5 a 9;8;0;0;0,0
HRBJA;agosto;2018;III;10 a 14;15;0;0;0,0
HRBJA;agosto;2018;IV;15 a 19;25;3;0;0,75
HRBJA;agosto;2018;V;20 a 24;40;11;2;4,4
HRBJA;agosto;2018;VI;25 a 29;55;5;1;2,75
HRBJA;agosto;2018;VII;30 a 34;75;0;0;0,0
HRBJA;agosto;2018;VIII;> 34;85;2;2;1,7
HRBJA;setembro;2018;I;0 a 4;4;0;0;0,0
HRBJA;setembro;2018;II;5 a 9;8;0;0;0,0
HRBJA;setembro;2018;III;10 a 14;15;1;0;0,15
HRBJA;setembro;2018;IV;15 a 19;25;2;0;0,5
HRBJA;setembro;2018;V;20 a 24;40;1;1;0,4
HRBJA;setembro;2018;VI;25 a 29;55;4;2;2,2
HRBJA;setembro;2018;VII;30 a 34;75;2;2;1,5
HRBJA;setembro;2018;VIII;> 34;85;1;1;0,85
HRBJA;outubro;2018;I;0 a 4;4;0;0;0,0
HRBJA;outubro;2018;II;5 a 9;8;0;0;0,0
HRBJA;outubro;2018;III;10 a 14;15;2;0;0,3
HRBJA;outubro;2018;IV;15 a 19;25;4;1;1,0
HRBJA;outubro;2018;V;20 a 24;40;8;2;3,2
HRBJA;outubro;2018;VI;25 a 29;55;13;7;7,15
HRBJA;outubro;2018;VII;30 a 34;75;4;2;3,0
HRBJA;outubro;2018;VIII;> 34;85;0;0;0,0
HRBJA;dezembro;2018;I;0 a 4;4;0;0;0,0
HRBJA;dezembro;2018;II;5 a 9;8;0;0;0,0
HRBJA;dezembro;2018;III;10 a 14;15;3;1;0,45
HRBJA;dezembro;2018;IV;15 a 19;25;5;1;1,25
HRBJA;dezembro;2018;V;20 a 24;40;8;0;3,2
HRBJA;dezembro;2018;VI;25 a 29;55;3;1;1,65
HRBJA;dezembro;2018;VII;30 a 34;75;4;2;3,0
HRBJA;dezembro;2018;VIII;> 34;85;2;2;1,7
HJK;janeiro;2018;I;0 a 4;4;1;0;0,04
HJK;janeiro;2018;II;5 a 9;8;2;0;0,16
HJK;janeiro;2018;III;10 a 14;15;15;0;2,25
HJK;janeiro;2018;IV;15 a 19;25;26;2;6,5
HJK;janeiro;2018;V;20 a 24;40;16;1;6,4
HJK;janeiro;2018;VI;25 a 29;55;15;3;8,25
HJK;janeiro;2018;VII;30 a 34;75;4;2;3,0
HJK;janeiro;2018;VIII;> 34;85;2;1;1,7
HJK;fevereiro;2018;I;0 a 4;4;1;0;0,04
HJK;fevereiro;2018;II;5 a 9;8;3;0;0,24
HJK;fevereiro;2018;III;10 a 14;15;8;1;1,2
HJK;fevereiro;2018;IV;15 a 19;25;18;0;4,5
HJK;fevereiro;2018;V;20 a 24;40;13;3;5,2
HJK;fevereiro;2018;VI;25 a 29;55;4;1;2,2
HJK;fevereiro;2018;VII;30 a 34;75;8;5;6,0
HJK;fevereiro;2018;VIII;> 34;85;2;1;1,7
HJK;mar̤o;2018;I;0 a 4;4;2;0;0,08
HJK;mar̤o;2018;II;5 a 9;8;4;0;0,32
HJK;mar̤o;2018;III;10 a 14;15;12;1;1,8
HJK;mar̤o;2018;IV;15 a 19;25;21;1;5,25
HJK;mar̤o;2018;V;20 a 24;40;12;0;4,8
HJK;mar̤o;2018;VI;25 a 29;55;10;2;5,5
HJK;mar̤o;2018;VII;30 a 34;75;7;8;5,25
HJK;mar̤o;2018;VIII;> 34;85;2;1;1,7
HJK;abril;2018;I;0 a 4;4;1;0;0,04
HJK;abril;2018;II;5 a 9;8;3;0;0,24
HJK;abril;2018;III;10 a 14;15;13;0;1,95
HJK;abril;2018;IV;15 a 19;25;23;0;5,75
HJK;abril;2018;V;20 a 24;40;8;1;3,2
HJK;abril;2018;VI;25 a 29;55;8;2;4,4
HJK;abril;2018;VII;30 a 34;75;8;3;6,0
HJK;abril;2018;VIII;> 34;85;2;2;1,7
HJK;maio;2018;I;0 a 4;4;0;0;0,0
HJK;maio;2018;II;5 a 9;8;3;0;0,24
HJK;maio;2018;III;10 a 14;15;12;0;1,8
HJK;maio;2018;IV;15 a 19;25;21;2;5,25
HJK;maio;2018;V;20 a 24;40;17;5;6,8
HJK;maio;2018;VI;25 a 29;55;12;7;6,6
HJK;maio;2018;VII;30 a 34;75;11;5;8,25
HJK;maio;2018;VIII;> 34;85;4;2;3,4
HJK;junho;2018;I;0 a 4;4;0;0;0,0
HJK;junho;2018;II;5 a 9;8;2;0;0,16
HJK;junho;2018;III;10 a 14;15;13;0;1,95
HJK;junho;2018;IV;15 a 19;25;15;0;3,75
HJK;junho;2018;V;20 a 24;40;12;0;4,8
HJK;junho;2018;VI;25 a 29;55;16;2;8,8
HJK;junho;2018;VII;30 a 34;75;10;4;7,5
HJK;junho;2018;VIII;> 34;85;1;0;0,85
HJK;julho;2018;I;0 a 4;4;0;0;0,0
HJK;julho;2018;II;5 a 9;8;5;0;0,4
HJK;julho;2018;III;10 a 14;15;20;1;3,0
HJK;julho;2018;IV;15 a 19;25;14;0;3,5
HJK;julho;2018;V;20 a 24;40;13;0;5,2
HJK;julho;2018;VI;25 a 29;55;9;2;4,95
HJK;julho;2018;VII;30 a 34;75;10;5;7,5
